Buffer Size,Algorithm Type,Input File,Seconds
-1,-1,-1,0.827
-1,-1,-1,0.774
-1,-1,-1,0.774
-1,-1,-1,0.75
-1,-1,-1,0.788
-1,-1,-1,0.796
-1,-1,-1,0.805
-1,-1,-1,0.808
-1,-1,-1,0.805
-1,-1,-1,0.815
-1,-1,-1,0.835
-1,-1,-1,0.745
-1,-1,-1,0.8
-1,-1,-1,0.79
-1,-1,-1,0.792
-1,-1,-1,0.837
-1,-1,-1,0.855
-1,-1,-1,0.888
-1,-1,-1,0.821
-1,-1,-1,0.873
-1,-1,-1,0.848
-1,-1,-1,0.859
-1,-1,-1,0.832
-1,-1,-1,0.85
-1,-1,-1,0.851
-1,-1,-1,0.836
-1,-1,-1,0.858
-1,-1,-1,0.844
-1,-1,-1,0.865
-1,-1,-1,0.864
-1,-1,-1,0.859
-1,-1,-1,0.871
-1,-1,-1,0.864
-1,-1,-1,0.908
-1,-1,-1,0.891
-1,-1,-1,0.879
-1,-1,-1,0.873
-1,-1,-1,0.919
-1,-1,-1,0.893
-1,-1,-1,0.823
-1,-1,-1,0.889
-1,-1,-1,0.884
-1,-1,-1,0.888
-1,-1,-1,0.887
-1,-1,-1,0.904
-1,-1,-1,1.023
-1,-1,-1,0.905
-1,-1,-1,0.793
-1,-1,-1,0.903
-1,-1,-1,0.933
-1,-1,-1,0.799
-1,-1,-1,0.876
-1,-1,-1,0.823
-1,-1,-1,0.894
-1,-1,-1,0.929
-1,-1,-1,0.989
-1,-1,-1,0.795
-1,-1,-1,0.888
-1,-1,-1,0.905
-1,-1,-1,0.827
-1,-1,-1,0.878
-1,-1,-1,0.854
-1,-1,-1,0.901
-1,-1,-1,0.886
-1,-1,-1,0.902
-1,-1,-1,0.889
-1,-1,-1,0.866
-1,-1,-1,0.861
-1,-1,-1,0.853
-1,-1,-1,0.764
-1,-1,-1,0.807
-1,-1,-1,0.869
-1,-1,-1,0.835
-1,-1,-1,0.895
-1,-1,-1,0.851
-1,-1,-1,0.897
-1,-1,-1,0.823
-1,-1,-1,0.892
-1,-1,-1,0.859
-1,-1,-1,0.914
-1,-1,-1,0.892
-1,-1,-1,0.835
-1,-1,-1,0.863
-1,-1,-1,0.874
-1,-1,-1,0.861
-1,-1,-1,0.805
-1,-1,-1,0.874
-1,-1,-1,0.895
-1,-1,-1,0.88
-1,-1,-1,0.896
-1,-1,-1,0.885
-1,-1,-1,0.881
-1,-1,-1,0.909
-1,-1,-1,0.942
-1,-1,-1,0.96
-1,-1,-1,0.965
-1,-1,-1,0.936
-1,-1,-1,0.946
-1,-1,-1,0.916
-1,-1,-1,0.94
-1,-1,-1,0.953
-1,-1,-1,1.01
-1,-1,-1,0.958
-1,-1,-1,0.957
-1,-1,-1,0.948
-1,-1,-1,0.964
-1,-1,-1,0.957
-1,-1,-1,0.928
-1,-1,-1,0.954
-1,-1,-1,0.883
-1,-1,-1,0.97
-1,-1,-1,0.888
-1,-1,-1,0.935
-1,-1,-1,0.876
-1,-1,-1,0.905
-1,-1,-1,0.929
-1,-1,-1,0.863
-1,-1,-1,0.895
-1,-1,-1,0.923
-1,-1,-1,0.908
-1,-1,-1,0.896
-1,-1,-1,0.901
-1,-1,-1,0.922
-1,-1,-1,0.949
-1,-1,-1,0.933
-1,-1,-1,0.945
-1,-1,-1,0.896
-1,-1,-1,0.902
-1,-1,-1,0.932
-1,-1,-1,0.904
