Buffer Size,Algorithm Type,Input File,Seconds
-1,-1,-1,0.784
-1,-1,-1,0.77
-1,-1,-1,0.713
-1,-1,-1,0.771
-1,-1,-1,0.773
-1,-1,-1,0.763
-1,-1,-1,0.78
-1,-1,-1,0.795
-1,-1,-1,0.791
-1,-1,-1,0.771
-1,-1,-1,0.779
-1,-1,-1,0.813
-1,-1,-1,0.812
-1,-1,-1,0.799
-1,-1,-1,0.806
-1,-1,-1,0.812
-1,-1,-1,0.814
-1,-1,-1,0.791
-1,-1,-1,0.806
-1,-1,-1,0.854
-1,-1,-1,0.782
-1,-1,-1,0.842
-1,-1,-1,0.808
-1,-1,-1,0.827
-1,-1,-1,0.816
-1,-1,-1,0.786
-1,-1,-1,0.83
-1,-1,-1,0.825
-1,-1,-1,0.843
-1,-1,-1,0.877
-1,-1,-1,0.841
-1,-1,-1,0.857
-1,-1,-1,0.832
-1,-1,-1,0.861
-1,-1,-1,0.858
-1,-1,-1,0.826
-1,-1,-1,0.845
-1,-1,-1,0.849
-1,-1,-1,0.818
-1,-1,-1,0.853
-1,-1,-1,0.845
-1,-1,-1,0.87
-1,-1,-1,0.852
-1,-1,-1,0.849
-1,-1,-1,0.861
-1,-1,-1,0.872
-1,-1,-1,0.826
-1,-1,-1,0.844
-1,-1,-1,0.935
-1,-1,-1,0.842
-1,-1,-1,0.847
-1,-1,-1,0.829
-1,-1,-1,0.846
-1,-1,-1,0.852
-1,-1,-1,0.877
-1,-1,-1,0.831
-1,-1,-1,0.838
-1,-1,-1,0.85
-1,-1,-1,0.858
-1,-1,-1,0.824
-1,-1,-1,0.832
-1,-1,-1,0.843
-1,-1,-1,0.879
-1,-1,-1,0.859
-1,-1,-1,0.854
-1,-1,-1,0.859
-1,-1,-1,0.822
-1,-1,-1,0.82
-1,-1,-1,0.848
-1,-1,-1,0.806
-1,-1,-1,0.829
-1,-1,-1,0.843
-1,-1,-1,0.803
-1,-1,-1,0.792
-1,-1,-1,0.842
-1,-1,-1,0.82
-1,-1,-1,0.787
-1,-1,-1,0.784
-1,-1,-1,0.826
-1,-1,-1,0.801
-1,-1,-1,0.772
-1,-1,-1,0.822
-1,-1,-1,0.787
-1,-1,-1,0.794
-1,-1,-1,0.817
-1,-1,-1,0.809
-1,-1,-1,0.786
-1,-1,-1,0.81
-1,-1,-1,0.774
-1,-1,-1,0.822
-1,-1,-1,0.819
-1,-1,-1,0.793
-1,-1,-1,0.771
-1,-1,-1,0.783
-1,-1,-1,0.8
-1,-1,-1,0.816
-1,-1,-1,0.815
-1,-1,-1,0.815
-1,-1,-1,0.793
-1,-1,-1,0.799
1,-1,-1,0.66
1,-1,-1,0.718
1,-1,-1,0.73
1,-1,-1,0.736
1,-1,-1,0.759
1,-1,-1,0.694
1,-1,-1,0.692
1,-1,-1,0.715
1,-1,-1,0.74
1,-1,-1,0.708
1,-1,-1,0.693
1,-1,-1,0.783
1,-1,-1,0.749
1,-1,-1,0.73
1,-1,-1,0.723
1,-1,-1,0.706
1,-1,-1,0.665
1,-1,-1,0.777
1,-1,-1,0.725
1,-1,-1,0.77
1,-1,-1,0.727
1,-1,-1,0.741
1,-1,-1,0.709
1,-1,-1,0.785
1,-1,-1,0.75
1,-1,-1,0.724
1,-1,-1,0.724
1,-1,-1,0.727
1,-1,-1,0.734
1,-1,-1,0.697
1,-1,-1,0.738
1,-1,-1,0.728
1,-1,-1,0.729
1,-1,-1,0.759
1,-1,-1,0.783
1,-1,-1,0.767
1,-1,-1,0.738
1,-1,-1,0.707
1,-1,-1,0.794
1,-1,-1,0.753
1,-1,-1,0.826
1,-1,-1,0.732
1,-1,-1,0.77
1,-1,-1,0.795
1,-1,-1,0.732
1,-1,-1,0.768
1,-1,-1,0.716
1,-1,-1,0.797
1,-1,-1,0.743
1,-1,-1,0.724
1,-1,-1,0.757
1,-1,-1,0.732
1,-1,-1,0.733
1,-1,-1,0.727
1,-1,-1,0.753
1,-1,-1,0.761
1,-1,-1,0.75
1,-1,-1,0.74
1,-1,-1,0.743
1,-1,-1,0.737
1,-1,-1,0.722
1,-1,-1,0.723
1,-1,-1,0.704
1,-1,-1,0.752
1,-1,-1,0.696
1,-1,-1,0.796
1,-1,-1,0.732
1,-1,-1,0.761
1,-1,-1,0.742
1,-1,-1,0.739
1,-1,-1,0.765
1,-1,-1,0.718
1,-1,-1,0.737
1,-1,-1,0.789
1,-1,-1,0.767
1,-1,-1,0.76
1,-1,-1,0.758
1,-1,-1,0.783
1,-1,-1,0.822
1,-1,-1,0.805
1,-1,-1,0.757
1,-1,-1,0.758
1,-1,-1,0.744
1,-1,-1,0.668
1,-1,-1,0.738
1,-1,-1,0.744
1,-1,-1,0.715
1,-1,-1,0.727
1,-1,-1,0.723
1,-1,-1,0.749
1,-1,-1,0.738
1,-1,-1,0.773
1,-1,-1,0.726
1,-1,-1,0.729
1,-1,-1,0.784
1,-1,-1,0.738
1,-1,-1,0.906
1,-1,-1,0.795
1,-1,-1,0.753
1,-1,-1,0.774
-1,1,-1,0.511
-1,1,-1,0.521
-1,1,-1,0.524
-1,1,-1,0.529
-1,1,-1,0.517
-1,1,-1,0.511
-1,1,-1,0.512
-1,1,-1,0.503
-1,1,-1,0.538
-1,1,-1,0.527
-1,1,-1,0.529
-1,1,-1,0.578
-1,1,-1,0.712
-1,1,-1,0.541
-1,1,-1,0.531
-1,1,-1,0.449
-1,1,-1,0.52
-1,1,-1,0.502
-1,1,-1,0.517
-1,1,-1,0.501
-1,1,-1,0.499
-1,1,-1,0.482
-1,1,-1,0.524
-1,1,-1,0.52
-1,1,-1,0.486
-1,1,-1,0.487
-1,1,-1,0.53
-1,1,-1,0.519
-1,1,-1,0.512
-1,1,-1,0.499
-1,1,-1,0.547
-1,1,-1,0.516
-1,1,-1,0.495
-1,1,-1,0.538
-1,1,-1,0.54
-1,1,-1,0.573
-1,1,-1,0.522
-1,1,-1,0.531
-1,1,-1,0.541
-1,1,-1,0.532
-1,1,-1,0.503
-1,1,-1,0.516
-1,1,-1,0.535
-1,1,-1,0.503
-1,1,-1,0.521
-1,1,-1,0.485
-1,1,-1,0.518
-1,1,-1,0.531
-1,1,-1,0.491
-1,1,-1,0.502
-1,1,-1,0.556
-1,1,-1,0.486
-1,1,-1,0.527
-1,1,-1,0.492
-1,1,-1,0.512
-1,1,-1,0.515
-1,1,-1,0.525
-1,1,-1,0.559
-1,1,-1,0.523
-1,1,-1,0.496
-1,1,-1,0.491
-1,1,-1,0.538
-1,1,-1,0.511
-1,1,-1,0.512
-1,1,-1,0.52
-1,1,-1,0.524
-1,1,-1,0.509
-1,1,-1,0.528
-1,1,-1,0.502
-1,1,-1,0.52
-1,1,-1,0.491
-1,1,-1,0.509
-1,1,-1,0.507
-1,1,-1,0.493
-1,1,-1,0.505
-1,1,-1,0.534
-1,1,-1,0.499
-1,1,-1,0.514
-1,1,-1,0.547
-1,1,-1,0.488
-1,1,-1,0.504
-1,1,-1,0.522
-1,1,-1,0.521
-1,1,-1,0.538
-1,1,-1,0.533
-1,1,-1,0.485
-1,1,-1,0.418
-1,1,-1,0.527
-1,1,-1,0.491
-1,1,-1,0.523
-1,1,-1,0.511
-1,1,-1,0.491
-1,1,-1,0.492
-1,1,-1,0.525
-1,1,-1,0.533
-1,1,-1,0.504
-1,1,-1,0.505
-1,1,-1,0.504
-1,1,-1,0.424
-1,1,-1,0.457
1,1,-1,0.465
1,1,-1,0.426
1,1,-1,0.377
1,1,-1,0.496
1,1,-1,0.445
1,1,-1,0.405
1,1,-1,0.444
1,1,-1,0.369
1,1,-1,0.443
1,1,-1,0.455
1,1,-1,0.429
1,1,-1,0.545
1,1,-1,0.548
1,1,-1,0.46
1,1,-1,0.454
1,1,-1,0.466
1,1,-1,0.428
1,1,-1,0.441
1,1,-1,0.469
1,1,-1,0.445
1,1,-1,0.468
1,1,-1,0.466
1,1,-1,0.48
1,1,-1,0.466
1,1,-1,0.463
1,1,-1,0.437
1,1,-1,0.44
1,1,-1,0.442
1,1,-1,0.468
1,1,-1,0.453
1,1,-1,0.461
1,1,-1,0.475
1,1,-1,0.472
1,1,-1,0.387
1,1,-1,0.497
1,1,-1,0.434
1,1,-1,0.464
1,1,-1,0.518
1,1,-1,0.477
1,1,-1,0.494
1,1,-1,0.454
1,1,-1,0.462
1,1,-1,0.443
1,1,-1,0.44
1,1,-1,0.455
1,1,-1,0.494
1,1,-1,0.467
1,1,-1,0.46
1,1,-1,0.413
1,1,-1,0.532
1,1,-1,0.483
1,1,-1,0.426
1,1,-1,0.475
1,1,-1,0.469
1,1,-1,0.465
1,1,-1,0.439
1,1,-1,0.498
1,1,-1,0.473
1,1,-1,0.455
1,1,-1,0.398
1,1,-1,0.46
1,1,-1,0.47
1,1,-1,0.45
1,1,-1,0.374
1,1,-1,0.459
1,1,-1,0.459
1,1,-1,0.452
1,1,-1,0.466
1,1,-1,0.43
1,1,-1,0.436
1,1,-1,0.419
1,1,-1,0.419
1,1,-1,0.442
1,1,-1,0.478
1,1,-1,0.441
1,1,-1,0.445
1,1,-1,0.454
1,1,-1,0.465
1,1,-1,0.462
1,1,-1,0.463
1,1,-1,0.459
1,1,-1,0.484
1,1,-1,0.492
1,1,-1,0.463
1,1,-1,0.471
1,1,-1,0.374
1,1,-1,0.469
1,1,-1,0.462
1,1,-1,0.495
1,1,-1,0.449
1,1,-1,0.473
1,1,-1,0.482
1,1,-1,0.456
1,1,-1,0.447
1,1,-1,0.452
1,1,-1,0.412
1,1,-1,0.469
1,1,-1,0.436
1,1,-1,0.448
1,1,-1,0.444
-1,-1,1,0.232
-1,-1,1,0.218
-1,-1,1,0.219
-1,-1,1,0.224
-1,-1,1,0.215
-1,-1,1,0.181
-1,-1,1,0.219
-1,-1,1,0.219
-1,-1,1,0.199
-1,-1,1,0.215
-1,-1,1,0.219
-1,-1,1,0.224
-1,-1,1,0.219
-1,-1,1,0.232
-1,-1,1,0.222
-1,-1,1,0.228
-1,-1,1,0.21
-1,-1,1,0.227
-1,-1,1,0.214
-1,-1,1,0.222
-1,-1,1,0.177
-1,-1,1,0.216
-1,-1,1,0.218
-1,-1,1,0.217
-1,-1,1,0.214
-1,-1,1,0.231
-1,-1,1,0.178
-1,-1,1,0.22
-1,-1,1,0.227
-1,-1,1,0.217
-1,-1,1,0.234
-1,-1,1,0.216
-1,-1,1,0.22
-1,-1,1,0.198
-1,-1,1,0.222
-1,-1,1,0.218
-1,-1,1,0.212
-1,-1,1,0.229
-1,-1,1,0.238
-1,-1,1,0.217
-1,-1,1,0.215
-1,-1,1,0.216
-1,-1,1,0.219
-1,-1,1,0.219
-1,-1,1,0.185
-1,-1,1,0.224
-1,-1,1,0.226
-1,-1,1,0.227
-1,-1,1,0.221
-1,-1,1,0.218
-1,-1,1,0.215
-1,-1,1,0.226
-1,-1,1,0.23
-1,-1,1,0.246
-1,-1,1,0.22
-1,-1,1,0.216
-1,-1,1,0.211
-1,-1,1,0.215
-1,-1,1,0.191
-1,-1,1,0.228
-1,-1,1,0.218
-1,-1,1,0.221
-1,-1,1,0.226
-1,-1,1,0.213
-1,-1,1,0.22
-1,-1,1,0.222
-1,-1,1,0.225
-1,-1,1,0.218
-1,-1,1,0.217
-1,-1,1,0.225
-1,-1,1,0.215
-1,-1,1,0.226
-1,-1,1,0.219
-1,-1,1,0.228
-1,-1,1,0.218
-1,-1,1,0.221
-1,-1,1,0.219
-1,-1,1,0.226
-1,-1,1,0.223
-1,-1,1,0.221
-1,-1,1,0.219
-1,-1,1,0.224
-1,-1,1,0.195
-1,-1,1,0.219
-1,-1,1,0.18
-1,-1,1,0.218
-1,-1,1,0.211
-1,-1,1,0.224
-1,-1,1,0.222
-1,-1,1,0.215
-1,-1,1,0.227
-1,-1,1,0.221
-1,-1,1,0.224
-1,-1,1,0.233
-1,-1,1,0.209
-1,-1,1,0.218
-1,-1,1,0.224
-1,-1,1,0.222
-1,-1,1,0.22
-1,-1,1,0.228
1,-1,1,0.168
1,-1,1,0.202
1,-1,1,0.19
1,-1,1,0.201
1,-1,1,0.209
1,-1,1,0.197
1,-1,1,0.213
1,-1,1,0.188
1,-1,1,0.17
1,-1,1,0.196
1,-1,1,0.204
1,-1,1,0.202
1,-1,1,0.209
1,-1,1,0.201
1,-1,1,0.196
1,-1,1,0.189
1,-1,1,0.196
1,-1,1,0.19
1,-1,1,0.193
1,-1,1,0.17
1,-1,1,0.179
1,-1,1,0.197
1,-1,1,0.194
1,-1,1,0.198
1,-1,1,0.201
1,-1,1,0.193
1,-1,1,0.201
1,-1,1,0.203
1,-1,1,0.21
1,-1,1,0.166
1,-1,1,0.201
1,-1,1,0.196
1,-1,1,0.2
1,-1,1,0.19
1,-1,1,0.2
1,-1,1,0.202
1,-1,1,0.17
1,-1,1,0.201
1,-1,1,0.201
1,-1,1,0.197
1,-1,1,0.2
1,-1,1,0.167
1,-1,1,0.168
1,-1,1,0.172
1,-1,1,0.195
1,-1,1,0.196
1,-1,1,0.202
1,-1,1,0.201
1,-1,1,0.173
1,-1,1,0.2
1,-1,1,0.198
1,-1,1,0.199
1,-1,1,0.2
1,-1,1,0.199
1,-1,1,0.21
1,-1,1,0.191
1,-1,1,0.197
1,-1,1,0.191
1,-1,1,0.197
1,-1,1,0.196
1,-1,1,0.196
1,-1,1,0.2
1,-1,1,0.196
1,-1,1,0.199
1,-1,1,0.206
1,-1,1,0.213
1,-1,1,0.203
1,-1,1,0.199
1,-1,1,0.207
1,-1,1,0.208
1,-1,1,0.196
1,-1,1,0.213
1,-1,1,0.21
1,-1,1,0.191
1,-1,1,0.194
1,-1,1,0.196
1,-1,1,0.216
1,-1,1,0.192
1,-1,1,0.2
1,-1,1,0.202
1,-1,1,0.196
1,-1,1,0.199
1,-1,1,0.194
1,-1,1,0.213
1,-1,1,0.197
1,-1,1,0.203
1,-1,1,0.194
1,-1,1,0.197
1,-1,1,0.196
1,-1,1,0.195
1,-1,1,0.211
1,-1,1,0.198
1,-1,1,0.191
1,-1,1,0.174
1,-1,1,0.206
1,-1,1,0.191
1,-1,1,0.194
1,-1,1,0.196
1,-1,1,0.195
1,-1,1,0.192
-1,1,1,0.141
-1,1,1,0.142
-1,1,1,0.152
-1,1,1,0.136
-1,1,1,0.15
-1,1,1,0.12
-1,1,1,0.142
-1,1,1,0.148
-1,1,1,0.148
-1,1,1,0.143
-1,1,1,0.141
-1,1,1,0.14
-1,1,1,0.141
-1,1,1,0.144
-1,1,1,0.143
-1,1,1,0.139
-1,1,1,0.144
-1,1,1,0.148
-1,1,1,0.139
-1,1,1,0.158
-1,1,1,0.162
-1,1,1,0.142
-1,1,1,0.146
-1,1,1,0.142
-1,1,1,0.143
-1,1,1,0.139
-1,1,1,0.155
-1,1,1,0.14
-1,1,1,0.147
-1,1,1,0.15
-1,1,1,0.145
-1,1,1,0.145
-1,1,1,0.152
-1,1,1,0.139
-1,1,1,0.135
-1,1,1,0.148
-1,1,1,0.151
-1,1,1,0.142
-1,1,1,0.149
-1,1,1,0.149
-1,1,1,0.146
-1,1,1,0.14
-1,1,1,0.149
-1,1,1,0.141
-1,1,1,0.142
-1,1,1,0.143
-1,1,1,0.145
-1,1,1,0.145
-1,1,1,0.141
-1,1,1,0.141
-1,1,1,0.111
-1,1,1,0.139
-1,1,1,0.141
-1,1,1,0.143
-1,1,1,0.145
-1,1,1,0.14
-1,1,1,0.117
-1,1,1,0.155
-1,1,1,0.144
-1,1,1,0.139
-1,1,1,0.144
-1,1,1,0.152
-1,1,1,0.152
-1,1,1,0.138
-1,1,1,0.143
-1,1,1,0.139
-1,1,1,0.148
-1,1,1,0.116
-1,1,1,0.146
-1,1,1,0.137
-1,1,1,0.14
-1,1,1,0.119
-1,1,1,0.141
-1,1,1,0.15
-1,1,1,0.103
-1,1,1,0.147
-1,1,1,0.145
-1,1,1,0.151
-1,1,1,0.141
-1,1,1,0.148
-1,1,1,0.146
-1,1,1,0.14
-1,1,1,0.145
-1,1,1,0.146
-1,1,1,0.14
-1,1,1,0.144
-1,1,1,0.116
-1,1,1,0.148
-1,1,1,0.153
-1,1,1,0.127
-1,1,1,0.143
-1,1,1,0.141
-1,1,1,0.15
-1,1,1,0.144
-1,1,1,0.146
-1,1,1,0.149
-1,1,1,0.145
-1,1,1,0.144
-1,1,1,0.157
-1,1,1,0.122
1,1,1,0.114
1,1,1,0.11
1,1,1,0.11
1,1,1,0.111
1,1,1,0.112
1,1,1,0.112
1,1,1,0.119
1,1,1,0.12
1,1,1,0.112
1,1,1,0.125
1,1,1,0.118
1,1,1,0.116
1,1,1,0.113
1,1,1,0.12
1,1,1,0.109
1,1,1,0.111
1,1,1,0.123
1,1,1,0.116
1,1,1,0.116
1,1,1,0.111
1,1,1,0.109
1,1,1,0.105
1,1,1,0.113
1,1,1,0.117
1,1,1,0.104
1,1,1,0.112
1,1,1,0.111
1,1,1,0.109
1,1,1,0.114
1,1,1,0.108
1,1,1,0.12
1,1,1,0.106
1,1,1,0.111
1,1,1,0.112
1,1,1,0.114
1,1,1,0.114
1,1,1,0.119
1,1,1,0.113
1,1,1,0.109
1,1,1,0.115
1,1,1,0.116
1,1,1,0.103
1,1,1,0.107
1,1,1,0.111
1,1,1,0.112
1,1,1,0.113
1,1,1,0.109
1,1,1,0.113
1,1,1,0.122
1,1,1,0.113
1,1,1,0.12
1,1,1,0.1
1,1,1,0.11
1,1,1,0.098
1,1,1,0.111
1,1,1,0.113
1,1,1,0.114
1,1,1,0.117
1,1,1,0.101
1,1,1,0.122
1,1,1,0.109
1,1,1,0.129
1,1,1,0.114
1,1,1,0.095
1,1,1,0.119
1,1,1,0.108
1,1,1,0.123
1,1,1,0.118
1,1,1,0.111
1,1,1,0.122
1,1,1,0.119
1,1,1,0.107
1,1,1,0.119
1,1,1,0.117
1,1,1,0.116
1,1,1,0.113
1,1,1,0.112
1,1,1,0.094
1,1,1,0.115
1,1,1,0.128
1,1,1,0.109
1,1,1,0.12
1,1,1,0.115
1,1,1,0.114
1,1,1,0.11
1,1,1,0.113
1,1,1,0.108
1,1,1,0.118
1,1,1,0.114
1,1,1,0.113
1,1,1,0.123
1,1,1,0.107
1,1,1,0.111
1,1,1,0.109
1,1,1,0.112
1,1,1,0.118
1,1,1,0.122
1,1,1,0.115
1,1,1,0.118
1,1,1,0.111
